iter	Passed	Remaining
0	26	8797
1	50	8299
2	75	8254
3	99	8076
4	122	7986
5	146	7896
6	169	7832
7	194	7830
8	235	8384
9	278	8922
10	325	9443
11	384	10180
12	417	10188
13	447	10099
14	474	9958
15	516	10144
16	567	10453
17	618	10726
18	683	11189
19	737	11427
20	789	11618
21	843	11802
22	888	11853
23	937	11958
24	983	11993
25	1032	12076
26	1095	12290
27	1154	12451
28	1209	12558
29	1253	12539
30	1305	12589
31	1358	12648
32	1402	12619
33	1454	12664
34	1501	12654
35	1551	12673
36	1606	12723
37	1657	12736
38	1715	12799
39	1764	12794
40	1814	12790
41	1861	12764
42	1909	12746
43	1966	12784
44	2026	12833
45	2069	12779
46	2122	12781
47	2183	12828
48	2234	12813
49	2280	12768
50	2330	12749
51	2380	12726
52	2433	12717
53	2466	12605
54	2512	12564
55	2564	12548
56	2612	12511
57	2669	12518
58	2725	12520
59	2789	12553
60	2856	12595
61	2894	12513
62	2920	12376
63	2945	12241
64	2970	12108
65	2995	11980
66	3018	11849
67	3044	11728
68	3067	11603
69	3090	11479
70	3115	11364
71	3138	11246
72	3163	11135
73	3188	11032
74	3212	10922
75	3235	10813
76	3258	10705
77	3280	10599
78	3304	10499
79	3327	10397
80	3349	10297
81	3375	10208
82	3398	10113
83	3421	10020
84	3446	9933
85	3468	9841
86	3491	9753
87	3516	9671
88	3539	9583
89	3561	9498
90	3584	9415
91	3609	9337
92	3633	9259
93	3657	9181
94	3680	9104
95	3703	9028
96	3726	8951
97	3750	8879
98	3774	8807
99	3799	8739
100	3822	8666
101	3856	8620
102	3892	8578
103	3916	8511
104	3941	8445
105	3963	8376
106	3987	8310
107	4013	8249
108	4040	8191
109	4063	8127
110	4087	8065
111	4112	8004
112	4136	7942
113	4160	7883
114	4186	7826
115	4209	7765
116	4232	7706
117	4255	7644
118	4279	7588
119	4304	7532
120	4326	7472
121	4349	7416
122	4376	7365
123	4401	7312
124	4424	7256
125	4450	7205
126	4473	7150
127	4496	7096
128	4520	7042
129	4543	6989
130	4566	6936
131	4589	6883
132	4613	6833
133	4637	6782
134	4659	6730
135	4683	6681
136	4707	6631
137	4730	6581
138	4754	6532
139	4778	6484
140	4802	6436
141	4824	6387
142	4847	6339
143	4870	6291
144	4914	6270
145	4938	6224
146	4962	6178
147	4988	6134
148	5010	6086
149	5033	6040
150	5057	5994
151	5080	5949
152	5103	5904
153	5126	5858
154	5149	5813
155	5176	5774
156	5200	5731
157	5225	5688
158	5248	5644
159	5269	5599
160	5292	5555
161	5316	5513
162	5339	5470
163	5360	5425
164	5389	5389
165	5411	5346
166	5437	5307
167	5461	5266
168	5485	5225
169	5507	5183
170	5531	5143
171	5553	5101
172	5575	5059
173	5598	5019
174	5621	4978
175	5642	4937
176	5664	4896
177	5687	4856
178	5710	4817
179	5735	4779
180	5758	4740
181	5780	4700
182	5802	4661
183	5826	4623
184	5850	4585
185	5873	4547
186	5897	4509
187	5933	4481
188	5963	4449
189	5987	4411
190	6009	4373
191	6032	4335
192	6055	4298
193	6079	4261
194	6102	4225
195	6125	4188
196	6148	4151
197	6171	4114
198	6196	4078
199	6220	4043
200	6244	4007
201	6268	3972
202	6290	3935
203	6314	3899
204	6336	3863
205	6346	3819
206	6371	3786
207	6395	3751
208	6417	3715
209	6440	3680
210	6465	3646
211	6488	3611
212	6514	3578
213	6537	3543
214	6562	3510
215	6585	3475
216	6610	3442
217	6633	3407
218	6656	3374
219	6679	3339
220	6703	3306
221	6725	3272
222	6750	3239
223	6772	3204
224	6795	3171
225	6817	3137
226	6839	3103
227	6863	3070
228	6887	3037
229	6910	3004
230	6934	2972
231	6967	2943
232	6999	2913
233	7022	2880
234	7045	2848
235	7066	2814
236	7089	2781
237	7112	2749
238	7134	2716
239	7160	2685
240	7183	2652
241	7206	2620
242	7229	2588
243	7250	2555
244	7273	2523
245	7296	2491
246	7317	2458
247	7338	2426
248	7360	2394
249	7385	2363
250	7408	2331
251	7431	2300
252	7454	2268
253	7476	2236
254	7498	2205
255	7520	2173
256	7543	2142
257	7567	2111
258	7589	2080
259	7614	2050
260	7638	2019
261	7661	1988
262	7683	1957
263	7706	1926
264	7728	1895
265	7750	1864
266	7772	1834
267	7794	1803
268	7819	1773
269	7840	1742
270	7862	1711
271	7885	1681
272	7909	1651
273	7933	1621
274	7965	1593
275	7989	1563
276	8036	1537
277	8060	1507
278	8083	1477
279	8106	1447
280	8129	1417
281	8155	1388
282	8180	1358
283	8203	1328
284	8226	1298
285	8251	1269
286	8274	1239
287	8297	1210
288	8320	1180
289	8342	1150
290	8365	1121
291	8391	1092
292	8415	1062
293	8439	1033
294	8462	1004
295	8484	974
296	8506	945
297	8528	915
298	8552	886
299	8575	857
300	8599	828
301	8622	799
302	8644	770
303	8666	741
304	8689	712
305	8713	683
306	8735	654
307	8758	625
308	8780	596
309	8802	567
310	8824	539
311	8846	510
312	8870	481
313	8893	453
314	8916	424
315	8939	396
316	8961	367
317	8983	338
318	9006	310
319	9028	282
320	9068	254
321	9090	225
322	9115	197
323	9139	169
324	9164	140
325	9187	112
326	9211	84
327	9233	56
328	9255	28
329	9277	0
