iter	Logloss
0	0.683406174
1	0.6740634101
2	0.6652896031
3	0.6571223592
4	0.6497611167
5	0.6424992712
6	0.6359565171
7	0.629579958
8	0.6235892482
9	0.6179516848
10	0.6128295359
11	0.6082674513
12	0.6039630843
13	0.5997570963
14	0.5953730912
15	0.5922327338
16	0.5885639346
17	0.5851167012
18	0.5816472987
19	0.5786599014
20	0.5756292464
21	0.5730856246
22	0.5702936348
23	0.5679149615
24	0.566084468
25	0.5639901692
26	0.5620330192
27	0.55986972
28	0.5580113646
29	0.5563387761
30	0.554745161
31	0.5532141053
32	0.5517624801
33	0.5502610316
34	0.5491468037
35	0.5477762918
36	0.5465942063
37	0.5455996953
38	0.5446807503
39	0.543697355
40	0.5428822325
41	0.5419639939
42	0.5411444252
43	0.5403936905
44	0.5395948988
45	0.5389876915
46	0.5381345679
47	0.5373661937
48	0.5368675046
49	0.5361607964
50	0.5357548765
51	0.5352705859
52	0.5346502476
53	0.5341695929
54	0.5337137044
55	0.5332523516
56	0.5327479073
57	0.5323993734
58	0.5320425496
59	0.5315949927
60	0.5311654494
61	0.5308075867
62	0.5305229213
63	0.5301995899
64	0.5298677608
65	0.5295850692
66	0.5293389658
67	0.5290821416
68	0.528830283
69	0.5285539284
70	0.5282998052
71	0.5280329664
72	0.5278009499
73	0.527620107
74	0.5274083481
75	0.5272350681
76	0.5269943252
77	0.5267420303
78	0.526594493
79	0.526370995
80	0.5262403078
81	0.5260867244
82	0.5259706642
83	0.5258180157
84	0.5256671125
85	0.5254853139
86	0.5253646412
87	0.525235346
88	0.5250735557
89	0.5249559164
90	0.5248088154
91	0.5246700875
92	0.5245226333
93	0.5243715015
94	0.524265996
95	0.5241910743
96	0.5240706717
97	0.5239424777
98	0.5238249008
99	0.5237120194
100	0.5236169647
101	0.5235240085
102	0.5234255256
103	0.5233413996
104	0.5232505835
105	0.5231815
106	0.5230769087
107	0.5229807113
108	0.5228687026
109	0.5227766398
110	0.5226892102
111	0.5225932829
112	0.5225113385
113	0.5224247193
114	0.5223073086
115	0.5222384537
116	0.5221449988
117	0.5220779723
118	0.5220049204
119	0.5219244304
120	0.5218401382
121	0.5217679382
122	0.5217023245
123	0.5216438165
124	0.5215828568
125	0.5214926224
126	0.5213988559
127	0.5213449604
128	0.5212624135
129	0.521152337
130	0.5210455226
131	0.5209725123
132	0.5208898822
133	0.5208066912
134	0.5207250584
135	0.5206528584
136	0.5205681507
137	0.5205093103
138	0.5204332873
139	0.5203681722
140	0.5202999822
141	0.5202277822
142	0.5201749463
143	0.5200989857
144	0.5200165219
145	0.5199373823
146	0.5198839232
147	0.5198118063
148	0.5197460887
149	0.5196788544
150	0.5196182687
151	0.5195435755
152	0.5194933367
153	0.5194095016
154	0.5193476485
155	0.5192830529
156	0.5192140526
157	0.5191534461
158	0.5190705252
159	0.5190122457
160	0.5189652482
161	0.5188794393
162	0.5188044759
163	0.5187516816
164	0.5186760742
165	0.518615634
166	0.5185617177
167	0.5184835547
168	0.5183912841
169	0.5183173596
170	0.5182712347
171	0.5181711728
172	0.5181235104
173	0.5180367042
174	0.518019023
175	0.5179701763
176	0.5179398835
177	0.5178896863
178	0.5178266905
179	0.5177599548
180	0.5177023195
181	0.5176526417
182	0.5175643188
183	0.5175031513
184	0.5174201473
185	0.5173721733
186	0.5172984773
187	0.5172447273
188	0.5171718208
189	0.5171262777
